# x_m, y_m, w_tr_right_m, w_tr_left_m
-53.0625, -21.1875, 1.4375, 1.4375
-53.0625, -21.2500, 1.4375, 1.4375
-53.0625, -21.3125, 1.4375, 1.4375
-53.0625, -21.3750, 1.4375, 1.4375
-53.0625, -21.4375, 1.4375, 1.4375
-53.0625, -21.5000, 1.4375, 1.4375
-53.0625, -21.5625, 1.4375, 1.4375
-53.0625, -21.6250, 1.4375, 1.4375
-53.0625, -21.6875, 1.4375, 1.4375
-53.0625, -21.7500, 1.4375, 1.4375
-53.0625, -21.8125, 1.4375, 1.4375
-53.0625, -21.8750, 1.4375, 1.4375
-53.0625, -21.9375, 1.4375, 1.4375
-53.0625, -22.0000, 1.4375, 1.4375
-53.0625, -22.0625, 1.4375, 1.4375
-53.0625, -22.1250, 1.4375, 1.4375
-53.0625, -22.1875, 1.4375, 1.4375
-53.0625, -22.2500, 1.4375, 1.4375
-53.0625, -22.3125, 1.4375, 1.4375
-53.0625, -22.3750, 1.4375, 1.4375
-53.0625, -22.4375, 1.4375, 1.4375
-53.0625, -22.5000, 1.4375, 1.4375
-53.0625, -22.5625, 1.4375, 1.4375
-53.0625, -22.6250, 1.4375, 1.4375
-53.0625, -22.6875, 1.4375, 1.4375
-53.0625, -22.7500, 1.4375, 1.4375
-53.0625, -22.8125, 1.4375, 1.4375
-53.0625, -22.8750, 1.4375, 1.4375
-53.0625, -22.9375, 1.4375, 1.4375
-53.0625, -23.0000, 1.4375, 1.4375
-53.0625, -23.0625, 1.4375, 1.4375
-53.0625, -23.1250, 1.4375, 1.4375
-53.0625, -23.1875, 1.4375, 1.4375
-53.0625, -23.2500, 1.4375, 1.4375
-53.0625, -23.3125, 1.4375, 1.4375
-53.0625, -23.3750, 1.4375, 1.4375
-53.0625, -23.4375, 1.4375, 1.4375
-53.0625, -23.5000, 1.4375, 1.4375
-53.0625, -23.5625, 1.4375, 1.4375
-53.0625, -23.6250, 1.4375, 1.4375
-53.0625, -23.6875, 1.4375, 1.4375
-53.0625, -23.7500, 1.4375, 1.4375
-53.0625, -23.8125, 1.4375, 1.4375
-53.0625, -23.8750, 1.4375, 1.4375
-53.0625, -23.9375, 1.4375, 1.4375
-53.0625, -24.0000, 1.4375, 1.4375
-53.0625, -24.0625, 1.4375, 1.4375
-53.0625, -24.1250, 1.4375, 1.4375
-53.0625, -24.1875, 1.4375, 1.4375
-53.0625, -24.2500, 1.4375, 1.4375
-53.0625, -24.3125, 1.4375, 1.4375
-53.0625, -24.3750, 1.4375, 1.4375
-53.0625, -24.4375, 1.4375, 1.4375
-53.0625, -24.5000, 1.4375, 1.4375
-53.0625, -24.5625, 1.4375, 1.4375
-53.0625, -24.6250, 1.4375, 1.4375
-53.0625, -24.6875, 1.4375, 1.4375
-53.0625, -24.7500, 1.4375, 1.4375
-53.0625, -24.8125, 1.4375, 1.4375
-53.0625, -24.8750, 1.4375, 1.4375
-53.0625, -24.9375, 1.4375, 1.4375
-53.0625, -25.0000, 1.4375, 1.4375
-53.0625, -25.0625, 1.4375, 1.4375
-53.0625, -25.1250, 1.4375, 1.4375
-53.0625, -25.1875, 1.4375, 1.4375
-53.0625, -25.2500, 1.4375, 1.4375
-53.0625, -25.3125, 1.4375, 1.4375
-53.0625, -25.3750, 1.4375, 1.4375
-53.0625, -25.4375, 1.4375, 1.4375
-53.0625, -25.5000, 1.4375, 1.4375
-53.0625, -25.5625, 1.4375, 1.4375
-53.0625, -25.6250, 1.4375, 1.4375
-53.0625, -25.6875, 1.4375, 1.4375
-53.0625, -25.7500, 1.4375, 1.4375
-53.0625, -25.8125, 1.4375, 1.4375
-53.0625, -25.8750, 1.4375, 1.4375
-53.0625, -25.9375, 1.4375, 1.4375
-53.0625, -26.0000, 1.4375, 1.4375
-53.0625, -26.0625, 1.4375, 1.4375
-53.0625, -26.1250, 1.4375, 1.4375
-53.0625, -26.1875, 1.4375, 1.4375
-53.0625, -26.2500, 1.4375, 1.4375
-53.0625, -26.3125, 1.4375, 1.4375
-53.0625, -26.3750, 1.4375, 1.4375
-53.0625, -26.4375, 1.4375, 1.4375
-53.0625, -26.5000, 1.4375, 1.4375
-53.0625, -26.5625, 1.4375, 1.4375
-53.0625, -26.6250, 1.4375, 1.4375
-53.0625, -26.6875, 1.4375, 1.4375
-53.0625, -26.7500, 1.4375, 1.4375
-53.0625, -26.8125, 1.4375, 1.4375
-53.0625, -26.8750, 1.4375, 1.4375
-53.0625, -26.9375, 1.4375, 1.4375
-53.0625, -27.0000, 1.4375, 1.4375
-53.0625, -27.0625, 1.4375, 1.4375
-53.0625, -27.1250, 1.4375, 1.4375
-53.0625, -27.1875, 1.4375, 1.4375
-53.0625, -27.2500, 1.4375, 1.4375
-53.0625, -27.3125, 1.4375, 1.4375
-53.0625, -27.3750, 1.4375, 1.4375
-53.0625, -27.4375, 1.4375, 1.4375
-53.0625, -27.5000, 1.4375, 1.4375
-53.0625, -27.5625, 1.4375, 1.4375
-53.0625, -27.6250, 1.4375, 1.4375
-53.0625, -27.6875, 1.4375, 1.4375
-53.0625, -27.7500, 1.4375, 1.4375
-53.0625, -27.8125, 1.4375, 1.4375
-53.0625, -27.8750, 1.4375, 1.4375
-53.0625, -27.9375, 1.4375, 1.4375
-53.0625, -28.0000, 1.4375, 1.4375
-53.0625, -28.0625, 1.4375, 1.4375
-53.0625, -28.1250, 1.4375, 1.4375
-53.0625, -28.1875, 1.4375, 1.4375
-53.0625, -28.2500, 1.4375, 1.4375
-53.0625, -28.3125, 1.4375, 1.4375
-53.0625, -28.3750, 1.4375, 1.4375
-53.0625, -28.4375, 1.4375, 1.4375
-53.0625, -28.5000, 1.4375, 1.4375
-53.0625, -28.5625, 1.4375, 1.4375
-53.0625, -28.6250, 1.4375, 1.4375
-53.0625, -28.6875, 1.4375, 1.4375
-53.0625, -28.7500, 1.4375, 1.4375
-53.0625, -28.8125, 1.4375, 1.4375
-53.0625, -28.8750, 1.4375, 1.4375
-53.0625, -28.9375, 1.4375, 1.4375
-53.0625, -29.0000, 1.4375, 1.4375
-53.0625, -29.0625, 1.4375, 1.4375
-53.0625, -29.1250, 1.4375, 1.4375
-53.0625, -29.1875, 1.4375, 1.4375
-53.0625, -29.2500, 1.4375, 1.4375
-53.0625, -29.3125, 1.4375, 1.4375
-53.0625, -29.3750, 1.4375, 1.4375
-53.0625, -29.4375, 1.4375, 1.4375
-53.0625, -29.5000, 1.4375, 1.4375
-53.0625, -29.5625, 1.4375, 1.4375
-53.0625, -29.6250, 1.4375, 1.4375
-53.0625, -29.6875, 1.4375, 1.4375
-53.0625, -29.7500, 1.4375, 1.4375
-53.0625, -29.8125, 1.4375, 1.4375
-53.0625, -29.8750, 1.4375, 1.4375
-53.0625, -29.9375, 1.4375, 1.4375
-53.0625, -30.0000, 1.4375, 1.4375
-53.0625, -30.0625, 1.4375, 1.4375
-53.0625, -30.1250, 1.4375, 1.4375
-53.0625, -30.1875, 1.4375, 1.4375
-53.0625, -30.2500, 1.4375, 1.4375
-53.0625, -30.3125, 1.4375, 1.4375
-53.0625, -30.3750, 1.4375, 1.4375
-53.0625, -30.4375, 1.4375, 1.4375
-53.0625, -30.5000, 1.4375, 1.4375
-53.0625, -30.5625, 1.4375, 1.4375
-53.0625, -30.6250, 1.4375, 1.4375
-53.0625, -30.6875, 1.4375, 1.4375
-53.0625, -30.7500, 1.4375, 1.4375
-53.0625, -30.8125, 1.4375, 1.4375
-53.0625, -30.8750, 1.4375, 1.4375
-53.0625, -30.9375, 1.4375, 1.4375
-53.0625, -31.0000, 1.4375, 1.4375
-53.0625, -31.0625, 1.4375, 1.4375
-53.0625, -31.1250, 1.4375, 1.4375
-53.0625, -31.1875, 1.4375, 1.4375
-53.0625, -31.2500, 1.4375, 1.4375
-53.0625, -31.3125, 1.4375, 1.4375
-53.0625, -31.3750, 1.4375, 1.4375
-53.0625, -31.4375, 1.4375, 1.4375
-53.0625, -31.5000, 1.4375, 1.4375
-53.0625, -31.5625, 1.4375, 1.4375
-53.0625, -31.6250, 1.4375, 1.4375
-53.0625, -31.6875, 1.4375, 1.4375
-53.0625, -31.7500, 1.4375, 1.4375
-53.0625, -31.8125, 1.4389, 1.4389
-53.0625, -31.8750, 1.4429, 1.4429
-53.0625, -31.9375, 1.4497, 1.4497
-53.0625, -32.0000, 1.4591, 1.4591
-53.0625, -32.0625, 1.4711, 1.4711
-53.0625, -32.1250, 1.4856, 1.4856
-53.0625, -32.1875, 1.5000, 1.5000
-53.0625, -32.2500, 1.5000, 1.5000
-53.0625, -32.3125, 1.5000, 1.5000
-53.0625, -32.3750, 1.5000, 1.5000
-53.0625, -32.4375, 1.5000, 1.5000
-53.0625, -32.5000, 1.5000, 1.5000
-53.0625, -32.5625, 1.5000, 1.5000
-53.0625, -32.6250, 1.5000, 1.5000
-53.0625, -32.6875, 1.5000, 1.5000
