# x_m, y_m, w_tr_right_m, w_tr_left_m
37.5625, -23.5000, 1.4101, 1.4101
37.6250, -23.5000, 1.4101, 1.4101
37.6875, -23.4375, 1.3835, 1.3835
37.7500, -23.4375, 1.4045, 1.4045
37.8125, -23.4375, 1.4252, 1.4252
37.8750, -23.4375, 1.4045, 1.4045
37.9375, -23.3750, 1.3975, 1.3975
38.0000, -23.3750, 1.4101, 1.4101
38.0625, -23.3750, 1.4045, 1.4045
38.1250, -23.3125, 1.3835, 1.3835
38.1875, -23.3125, 1.4045, 1.4045
38.2500, -23.3125, 1.4045, 1.4045
38.3125, -23.3125, 1.3835, 1.3835
38.3750, -23.2500, 1.4045, 1.4045
38.4375, -23.2500, 1.4101, 1.4101
38.5000, -23.2500, 1.3975, 1.3975
38.5625, -23.1875, 1.4045, 1.4045
38.6250, -23.1875, 1.4252, 1.4252
38.6875, -23.1875, 1.4045, 1.4045
38.7500, -23.1250, 1.4045, 1.4045
38.8125, -23.1250, 1.4252, 1.4252
38.8750, -23.1250, 1.4045, 1.4045
38.9375, -23.0625, 1.4045, 1.4045
39.0000, -23.0625, 1.4252, 1.4252
39.0625, -23.0625, 1.4045, 1.4045
39.1250, -23.0000, 1.4045, 1.4045
39.1875, -23.0000, 1.4252, 1.4252
39.2500, -23.0000, 1.3975, 1.3975
39.3125, -22.9375, 1.4045, 1.4045
39.3750, -22.9375, 1.4045, 1.4045
39.4375, -22.9375, 1.3835, 1.3835
39.5000, -22.8750, 1.4045, 1.4045
39.5625, -22.8750, 1.4045, 1.4045
39.6250, -22.8750, 1.3835, 1.3835
39.6875, -22.8125, 1.4252, 1.4252
39.7500, -22.8125, 1.4045, 1.4045
39.8125, -22.8125, 1.3835, 1.3835
39.8750, -22.7500, 1.4252, 1.4252
39.9375, -22.7500, 1.3975, 1.3975
40.0000, -22.6875, 1.4252, 1.4252
40.0625, -22.6875, 1.4045, 1.4045
40.1250, -22.6250, 1.4045, 1.4045
40.1875, -22.6250, 1.4252, 1.4252
40.2500, -22.6250, 1.4045, 1.4045
40.3125, -22.5625, 1.4045, 1.4045
40.3750, -22.5625, 1.4252, 1.4252
40.4375, -22.5000, 1.3975, 1.3975
40.5000, -22.5000, 1.4252, 1.4252
40.5625, -22.5000, 1.3975, 1.3975
40.6250, -22.4375, 1.4045, 1.4045
40.6875, -22.4375, 1.4045, 1.4045
40.7500, -22.3750, 1.3975, 1.3975
40.8125, -22.3750, 1.4252, 1.4252
40.8750, -22.3750, 1.3975, 1.3975
40.9375, -22.3125, 1.4045, 1.4045
41.0000, -22.3125, 1.4045, 1.4045
41.0625, -22.2500, 1.3975, 1.3975
41.1250, -22.2500, 1.4252, 1.4252
41.1875, -22.2500, 1.3975, 1.3975
41.2500, -22.1875, 1.4252, 1.4252
41.3125, -22.1875, 1.3975, 1.3975
41.3750, -22.1250, 1.4045, 1.4045
41.4375, -22.1250, 1.4045, 1.4045
41.5000, -22.0625, 1.3975, 1.3975
41.5625, -22.0625, 1.4252, 1.4252
41.6250, -22.0000, 1.3975, 1.3975
41.6875, -22.0000, 1.4266, 1.4266
41.7500, -22.0000, 1.3975, 1.3975
41.8125, -21.9375, 1.4252, 1.4252
41.8750, -21.9375, 1.3975, 1.3975
41.9375, -21.8750, 1.4045, 1.4045
42.0000, -21.8750, 1.3975, 1.3975
42.0625, -21.8125, 1.3975, 1.3975
42.1250, -21.8125, 1.4045, 1.4045
42.1875, -21.7500, 1.3975, 1.3975
42.2500, -21.7500, 1.4252, 1.4252
42.3125, -21.6875, 1.3975, 1.3975
42.3750, -21.6875, 1.4266, 1.4266
42.4375, -21.6875, 1.3975, 1.3975
42.5000, -21.6250, 1.4266, 1.4266
42.5625, -21.6250, 1.3975, 1.3975
42.6250, -21.5625, 1.4266, 1.4266
42.6875, -21.5625, 1.3975, 1.3975
42.7500, -21.5000, 1.4266, 1.4266
42.8125, -21.5000, 1.3975, 1.3975
42.8750, -21.4375, 1.4266, 1.4266
42.9375, -21.4375, 1.3975, 1.3975
43.0000, -21.3750, 1.4266, 1.4266
43.0625, -21.3750, 1.3975, 1.3975
43.1250, -21.3125, 1.4266, 1.4266
43.1875, -21.2500, 1.3975, 1.3975
43.2500, -21.2500, 1.4252, 1.4252
43.3125, -21.1875, 1.3975, 1.3975
43.3750, -21.1875, 1.4045, 1.4045
43.4375, -21.1250, 1.3975, 1.3975
43.5000, -21.1250, 1.3975, 1.3975
43.5625, -21.0625, 1.4045, 1.4045
43.6250, -21.0625, 1.3975, 1.3975
43.6875, -21.0000, 1.4252, 1.4252
43.7500, -21.0000, 1.3975, 1.3975
43.8125, -20.9375, 1.4266, 1.4266
43.8750, -20.8750, 1.3975, 1.3975
43.9375, -20.8750, 1.4252, 1.4252
44.0000, -20.8125, 1.4045, 1.4045
44.0625, -20.8125, 1.4045, 1.4045
44.1250, -20.7500, 1.4252, 1.4252
44.1875, -20.7500, 1.3975, 1.3975
44.2500, -20.6875, 1.4266, 1.4266
44.3125, -20.6250, 1.3975, 1.3975
44.3750, -20.6250, 1.4252, 1.4252
44.4375, -20.5625, 1.4045, 1.4045
44.5000, -20.5625, 1.4045, 1.4045
44.5625, -20.5000, 1.4252, 1.4252
44.6250, -20.5000, 1.3975, 1.3975
44.6875, -20.4375, 1.4252, 1.4252
44.7500, -20.3750, 1.4045, 1.4045
44.8125, -20.3750, 1.4045, 1.4045
44.8750, -20.3125, 1.4252, 1.4252
44.9375, -20.3125, 1.3877, 1.3877
45.0000, -20.2500, 1.4045, 1.4045
45.0625, -20.1875, 1.4045, 1.4045
45.1250, -20.1875, 1.3975, 1.3975
45.1875, -20.1250, 1.4252, 1.4252
45.2500, -20.1250, 1.3877, 1.3877
45.3125, -20.0625, 1.4045, 1.4045
45.3750, -20.0000, 1.4252, 1.4252
45.4375, -20.0000, 1.3975, 1.3975
45.5000, -19.9375, 1.4252, 1.4252
45.5625, -19.8750, 1.4045, 1.4045
45.6250, -19.8750, 1.4045, 1.4045
45.6875, -19.8125, 1.4252, 1.4252
45.7500, -19.7500, 1.4045, 1.4045
45.8125, -19.7500, 1.4045, 1.4045
45.8750, -19.6875, 1.4252, 1.4252
45.9375, -19.6250, 1.4045, 1.4045
46.0000, -19.5625, 1.3877, 1.3877
46.0625, -19.5625, 1.4170, 1.4170
46.1250, -19.5000, 1.4170, 1.4170
46.1875, -19.4375, 1.4045, 1.4045
46.2500, -19.4375, 1.4045, 1.4045
46.3125, -19.3750, 1.4252, 1.4252
46.3750, -19.3125, 1.4045, 1.4045
46.4375, -19.3125, 1.4045, 1.4045
46.5000, -19.2500, 1.4252, 1.4252
46.5625, -19.1875, 1.4045, 1.4045
46.6250, -19.1875, 1.4045, 1.4045
46.6875, -19.1250, 1.4252, 1.4252
46.7500, -19.0625, 1.4170, 1.4170
46.8125, -19.0000, 1.4045, 1.4045
46.8750, -19.0000, 1.4170, 1.4170
46.9375, -18.9375, 1.4252, 1.4252
47.0000, -18.8750, 1.4045, 1.4045
47.0625, -18.8125, 1.3877, 1.3877
47.1250, -18.8125, 1.4170, 1.4170
47.1875, -18.7500, 1.4170, 1.4170
47.2500, -18.6875, 1.4142, 1.4142
